FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,resultfile
in,http://10.10.10.220:5080/in,http://10.10.10.220:5080/users/sign_in,195,302,104,5,1,
go,http://10.10.10.220:5080/go,http://10.10.10.220:5080/users/sign_in,193,302,104,5,1,
internet,http://10.10.10.220:5080/internet,http://10.10.10.220:5080/users/sign_in,194,302,104,5,1,
advertise,http://10.10.10.220:5080/advertise,http://10.10.10.220:5080/users/sign_in,197,302,104,5,1,
b,http://10.10.10.220:5080/b,http://10.10.10.220:5080/users/sign_in,196,302,104,5,1,
a,http://10.10.10.220:5080/a,http://10.10.10.220:5080/users/sign_in,198,302,104,5,1,
spam,http://10.10.10.220:5080/spam,http://10.10.10.220:5080/users/sign_in,199,302,104,5,1,
nav,http://10.10.10.220:5080/nav,http://10.10.10.220:5080/users/sign_in,200,302,104,5,1,
mail,http://10.10.10.220:5080/mail,http://10.10.10.220:5080/users/sign_in,201,302,104,5,1,
Images,http://10.10.10.220:5080/Images,http://10.10.10.220:5080/users/sign_in,203,302,104,5,1,
users,http://10.10.10.220:5080/users,http://10.10.10.220:5080/users/sign_in,202,302,104,5,1,
topics,http://10.10.10.220:5080/topics,http://10.10.10.220:5080/users/sign_in,204,302,104,5,1,
members,http://10.10.10.220:5080/members,http://10.10.10.220:5080/users/sign_in,205,302,104,5,1,
disclaimer,http://10.10.10.220:5080/disclaimer,http://10.10.10.220:5080/users/sign_in,206,302,104,5,1,
feeds,http://10.10.10.220:5080/feeds,http://10.10.10.220:5080/users/sign_in,209,302,104,5,1,
store,http://10.10.10.220:5080/store,http://10.10.10.220:5080/users/sign_in,207,302,104,5,1,
awards,http://10.10.10.220:5080/awards,http://10.10.10.220:5080/users/sign_in,211,302,104,5,1,
c,http://10.10.10.220:5080/c,http://10.10.10.220:5080/users/sign_in,210,302,104,5,1,
pics,http://10.10.10.220:5080/pics,http://10.10.10.220:5080/users/sign_in,215,302,104,5,1,
clear,http://10.10.10.220:5080/clear,http://10.10.10.220:5080/users/sign_in,208,302,104,5,1,
Default,http://10.10.10.220:5080/Default,http://10.10.10.220:5080/users/sign_in,213,302,104,5,1,
2002,http://10.10.10.220:5080/2002,http://10.10.10.220:5080/users/sign_in,212,302,104,5,1,
general,http://10.10.10.220:5080/general,http://10.10.10.220:5080/users/sign_in,214,302,104,5,1,
dir,http://10.10.10.220:5080/dir,http://10.10.10.220:5080/users/sign_in,216,302,104,5,1,
map,http://10.10.10.220:5080/map,http://10.10.10.220:5080/users/sign_in,219,302,104,5,1,
